City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
212,tasiilaq,65.6145,-37.6368,12.36,80,100,6.89,GL,1675193520
213,siparia,10.1333,-61.5,79.83,68,88,1.57,TT,1675193770
214,bathsheba,13.2167,-59.5167,81.21,65,40,16.11,BB,1675193554
215,ust-omchug,61.15,149.6333,-15.43,99,97,2.51,RU,1675193770
216,isangel,-19.55,169.2667,80.55,78,100,2.73,VU,1675193771
217,gornopravdinsk,60.05,69.9,12.72,96,99,7.56,RU,1675193771
218,ilhabela,-23.7781,-45.3581,82.81,76,100,5.28,BR,1675193772
219,lompoc,34.6391,-120.4579,62.64,52,0,4.61,US,1675193560
220,broken hill,-31.95,141.4333,64.17,49,0,15.1,AU,1675193764
221,udachnyy,66.4167,112.4,-42.34,100,92,4.88,RU,1675193772
222,yenagoa,4.9247,6.2642,80.24,79,64,6.6,NG,1675193773
223,kaka,37.3482,59.6143,52.23,46,100,3.0,TM,1675193773
224,kununurra,-15.7667,128.7333,78.78,94,75,0.0,AU,1675193605
225,katherine,-14.4667,132.2667,79.12,94,100,4.61,AU,1675193774
226,melnikovo,56.5558,84.085,-7.29,100,94,3.09,RU,1675193774
227,portland,45.5234,-122.6762,40.6,60,75,4.61,US,1675193712
228,svetlaya,46.5389,138.3297,5.72,82,82,4.94,RU,1675193664
229,cabo rojo,18.0866,-67.1457,84.87,57,34,1.99,PR,1675193775
230,raudeberg,61.9875,5.1352,39.87,1,100,25.81,NO,1675193606
231,bilina,50.5485,13.7754,40.35,88,100,19.98,CZ,1675193775
232,quatre cocos,-20.2078,57.7625,78.91,84,88,13.49,MU,1675193656
233,urumqi,43.801,87.6005,5.95,85,40,2.24,CN,1675193580
234,guerrero negro,27.9769,-114.0611,60.37,53,67,9.82,MX,1675193536
235,fairbanks,64.8378,-147.7164,18.61,87,100,4.61,US,1675193761
236,hervey bay,-25.2986,152.8535,79.12,85,99,19.28,AU,1675193776
237,saint-leu,-21.15,55.2833,79.66,78,93,10.25,RE,1675193568
238,lae,-6.7221,146.9847,76.75,79,100,7.38,PG,1675193777
239,rawson,-43.3002,-65.1023,66.02,46,0,17.87,AR,1675193654
240,sakakah,29.9697,40.2064,54.97,58,0,8.1,SA,1675193777
241,lebedinyy,58.5167,125.5167,-18.02,99,100,4.63,RU,1675193778
242,nuuk,64.1835,-51.7216,12.81,67,40,21.85,GL,1675193778
243,monrovia,6.3005,-10.7969,80.37,81,38,7.61,LR,1675193779
244,douglas,41.3,-96.167,26.58,48,0,10.36,US,1675193779
245,lodja,-3.4833,23.4333,69.93,97,49,3.22,CD,1675193780
246,jyvaskyla,62.2415,25.7209,25.14,89,100,4.61,FI,1675193780
247,clyde river,70.4692,-68.5914,-14.57,76,100,5.75,CA,1675193558
248,northam,51.0333,-4.2167,46.62,82,100,15.73,GB,1675193781
249,nyzhnya duvanka,49.5846,38.1743,26.73,92,82,3.06,UA,1675193781
250,bundaberg,-24.85,152.35,80.22,88,96,3.0,AU,1675193782
251,kanigoro,-8.13,112.219,73.67,92,100,2.53,ID,1675193783
252,chuy,-33.6971,-53.4616,79.92,64,33,12.91,UY,1675193654
253,richards bay,-28.783,32.0377,74.53,89,100,9.66,ZA,1675193309
254,makakilo city,21.3469,-158.0858,77.32,77,0,8.05,US,1675193695
255,conakry,9.538,-13.6773,84.27,70,0,6.91,GN,1675193783
256,souillac,-20.5167,57.5167,79.18,89,40,6.91,MU,1675193611
257,marawi,7.9986,124.2928,67.3,94,22,2.01,PH,1675193784
258,romitan,39.9343,64.3814,42.75,70,0,6.91,UZ,1675193784
259,ronne,55.1009,14.7066,39.11,87,75,31.07,DK,1675193784
260,peniche,39.3558,-9.3811,51.12,77,3,10.78,PT,1675193785
261,nome,64.5011,-165.4064,17.67,100,100,0.0,US,1675193568
262,moses lake,47.1301,-119.2781,25.88,80,100,0.0,US,1675193785
263,saint-andre-les-vergers,48.2853,4.0521,42.84,81,100,10.36,FR,1675193786
264,severnyy,50.677,36.5532,30.24,74,75,6.71,RU,1675193603
265,acapulco,16.8634,-99.8901,84.02,70,20,9.22,MX,1675193646
266,koslan,63.4564,48.8989,26.04,90,100,13.47,RU,1675193642
267,varasti,44.2378,26.2486,35.29,91,55,5.84,RO,1675193786
268,sao filipe,14.8961,-24.4956,71.51,71,45,9.98,CV,1675193787
269,springfield,37.2153,-93.2982,21.65,75,100,5.75,US,1675193658
270,buala,-8.145,159.5921,80.13,76,100,4.72,SB,1675193787
271,inhambane,-23.865,35.3833,77.59,71,62,12.03,MZ,1675193537
272,sao joao da barra,-21.6403,-41.0511,86.09,82,71,16.17,BR,1675193637
273,waitati,-45.75,170.5667,63.81,99,100,3.38,NZ,1675193788
274,yulara,-25.2406,130.9889,75.29,34,91,16.4,AU,1675193534
275,lorengau,-2.0226,147.2712,80.17,80,100,7.49,PG,1675193612
276,san joaquin,37.9333,-121.3011,53.55,40,0,5.75,US,1675193789
277,pacific grove,36.6177,-121.9166,57.24,41,0,10.0,US,1675193790
278,karlskrona,56.1616,15.5866,37.85,82,100,21.52,SE,1675193790
279,bengkulu,-3.8004,102.2655,73.87,93,100,6.17,ID,1675193506
280,mount gambier,-37.8333,140.7667,59.36,88,100,9.78,AU,1675193501
281,roald,62.5833,6.1333,37.33,87,75,17.27,NO,1675193638
282,karratha,-20.7377,116.8463,86.02,59,15,9.22,AU,1675193791
283,sogne,58.0833,7.8167,42.69,91,12,4.0,NO,1675193791
284,changli,39.7042,119.1506,28.74,36,78,12.53,CN,1675193792
285,idlib,35.9306,36.6339,44.01,80,35,10.11,SY,1675193792
286,fort-shevchenko,44.5086,50.263,34.92,59,23,9.51,KZ,1675193792
287,buchanan,5.8808,-10.0467,79.68,81,17,7.14,LR,1675193793
288,zhangjiakou,40.81,114.8794,14.52,44,99,13.85,CN,1675193793
289,palmer,42.1584,-72.3287,37.06,46,40,9.22,US,1675193675
290,maldonado,-34.6667,-54.9167,81.79,55,31,13.96,UY,1675193574
291,zyryanka,65.75,150.85,-22.22,100,91,7.07,RU,1675193794
292,hobyo,5.3505,48.5268,76.32,72,1,17.85,SO,1675193795
293,jacareacanga,-6.2222,-57.7528,75.18,90,98,0.89,BR,1675193795
294,pisco,-13.7,-76.2167,78.85,69,0,12.66,PE,1675193678
295,general roca,-39.0333,-67.5833,74.62,42,100,9.19,AR,1675193796
296,yamada,39.4667,141.95,29.62,69,59,7.07,JP,1675193796
297,toora-khem,52.4675,96.11,-8.86,100,84,0.18,RU,1675193660
298,mari,-7.06,-35.3194,85.01,53,86,14.56,BR,1675193797
299,mitsamiouli,-11.3847,43.2844,81.23,77,2,4.5,KM,1675193529
300,nerchinskiy zavod,51.3088,119.61,-13.07,99,99,2.8,RU,1675193797
301,iskateley,67.6803,53.1512,23.04,92,100,17.18,RU,1675193678
302,bizhbulyak,53.6967,54.2642,1.11,98,59,4.81,RU,1675193797
303,takhtamygda,54.1,123.5667,-22.58,97,59,3.04,RU,1675193798
304,caravelas,-17.7125,-39.2481,81.07,69,46,8.39,BR,1675193575
305,oranjemund,-28.55,16.4333,63.72,95,0,4.97,NA,1675193798
306,belyy yar,53.6039,91.3903,0.86,81,100,4.47,RU,1675193799
307,kozhevnikovo,56.2589,83.9714,-10.46,100,95,3.49,RU,1675193800
308,rovaniemi,66.5,25.7167,17.01,92,100,3.44,FI,1675193800
309,bandarbeyla,9.4942,50.8122,75.04,75,35,16.91,SO,1675193801
310,kharopon,41.2667,23.3833,40.15,71,1,6.96,GR,1675193801
311,sola,-13.8833,167.55,80.44,75,97,5.91,VU,1675193802
312,necochea,-38.5473,-58.7368,71.47,72,31,19.84,AR,1675193802
313,saint-augustin,51.226,-58.6502,6.3,76,26,9.71,CA,1675193682
314,walvis bay,-22.9575,14.5053,66.09,88,7,10.36,NA,1675193802
315,kjollefjord,70.9457,27.3465,35.65,93,100,17.27,NO,1675193803
316,reinosa,42.9996,-4.138,38.46,98,62,4.54,ES,1675193803
317,karla,59.3723,24.9275,31.98,86,0,8.05,EE,1675193804
318,vilhena,-12.7406,-60.1458,77.22,78,40,10.36,BR,1675193804
319,ambilobe,-13.2,49.05,75.25,93,54,1.52,MG,1675193805
320,chokurdakh,70.6333,147.9167,1.02,98,99,2.28,RU,1675193565
321,bac lieu,9.285,105.7244,74.95,84,100,4.14,VN,1675193805
322,bilma,18.6853,12.9164,66.94,18,100,11.43,NE,1675193805
323,oktyabrskiy,54.4815,53.471,14.49,93,33,8.57,RU,1675193514
324,fort morgan,40.2503,-103.8,13.42,85,0,8.05,US,1675193806
325,pisek,49.3088,14.1475,38.19,84,99,20.49,CZ,1675193806
326,pontianak,-0.0333,109.3333,75.18,100,75,1.14,ID,1675193807
327,namibe,-15.1961,12.1522,72.41,80,98,5.08,AO,1675193599
328,broome,42.2506,-75.833,28.56,62,75,6.91,US,1675193807
329,anahuac,27.2333,-100.15,42.71,78,100,12.06,MX,1675193807
330,petropavlovsk-kamchatskiy,53.0452,158.6483,-1.23,78,40,8.95,RU,1675193629
331,eydhafushi,5.1033,73.0708,80.24,76,100,11.21,MV,1675193808
332,lahij,13.1667,44.5833,67.39,72,5,5.73,YE,1675193808
333,ancud,-41.8697,-73.8203,63.18,57,0,9.19,CL,1675193699
334,karasjok,69.4719,25.5112,19.04,96,100,3.74,NO,1675193808
335,juterbog,51.9833,13.0833,43.45,92,100,5.01,DE,1675193809
336,sabang,5.8933,95.3214,78.76,80,100,9.35,ID,1675193669
337,sokoto,13.0609,5.239,81.63,9,100,7.29,NG,1675193809
338,mahanje,-9.9333,35.3333,64.4,96,1,3.06,TZ,1675193810
339,tsogni,-2.7942,10.0988,77.09,83,59,6.98,GA,1675193811
340,otradnoye,59.7775,30.8181,30.25,96,99,6.51,RU,1675193811
341,stuttgart,48.7823,9.177,41.85,79,100,16.11,DE,1675193811
342,nanortalik,60.1432,-45.2371,18.77,77,100,1.32,GL,1675193596
343,flin flon,54.7682,-101.865,-13.16,64,40,3.44,CA,1675193812
344,palpa,-14.5336,-75.1856,84.22,53,100,9.48,PE,1675193812
345,touros,-5.1989,-35.4608,81.88,73,98,14.88,BR,1675193572
346,teknaf,20.8624,92.3058,64.17,66,11,5.84,BD,1675193631
347,kodinsk,58.6881,99.1844,1.15,99,100,2.84,RU,1675193813
348,fuengirola,36.54,-4.6247,53.85,76,0,2.3,ES,1675193813
349,gwanda,-20.9333,29.0,71.44,67,11,9.04,ZW,1675193813
350,zhigansk,66.7697,123.3711,-25.92,98,100,5.08,RU,1675193669
351,bonnyville,54.2668,-110.735,4.32,91,100,2.01,CA,1675193814
352,fort smith,35.3859,-94.3986,28.45,90,100,8.01,US,1675193578
353,dingle,10.9995,122.6711,74.53,95,57,8.32,PH,1675193658
354,kitob,39.0843,66.8332,45.99,62,100,6.73,UZ,1675193814
355,castro,-24.7911,-50.0119,64.22,97,100,6.15,BR,1675193541
356,sayyan,15.1718,44.3244,56.57,50,13,2.3,YE,1675193815
357,nekhayevskiy,50.4106,41.7561,32.36,99,100,5.75,RU,1675193815
358,verin,41.9415,-7.4381,37.78,83,8,2.24,ES,1675193815
359,korsakov,46.6328,142.7813,3.04,89,91,2.73,RU,1675193816
360,narsaq,60.9167,-46.05,21.42,92,100,0.78,GL,1675193603
361,moron,-34.6534,-58.6198,91.94,65,0,12.71,AR,1675193509
362,kabompo,-13.5927,24.2008,63.23,98,89,5.19,ZM,1675193675
363,weihe,32.9952,105.3247,41.22,57,85,6.31,CN,1675193816
364,the valley,18.217,-63.0578,80.46,78,40,4.61,AI,1675193817
365,lala,7.9745,123.7458,73.47,97,27,1.34,PH,1675193817
366,southbridge,42.0751,-72.0334,38.35,54,99,4.0,US,1675193613
